Borough,Community Board,Community District Name,Tobacco Retail Dealer Cap,Active Tobacco Retail Dealer,TRD Available Under Cap,Electronic Cigarette Retail Dealer Cap,Active Electronic Cigarette Retail Dealer Licenses,ECD Available Under Cap
Manhattan,101,Manhattan 1,73,127,0,42,76,0
Manhattan,102,Manhattan 2,68,112,0,40,74,0
Manhattan,103,Manhattan 3,89,147,0,56,104,0
Manhattan,104,Manhattan 4,97,162,0,58,116,0
Manhattan,105,Manhattan 5,155,262,0,82,154,0
Manhattan,106,Manhattan 6,68,117,0,44,83,0
Manhattan,107,Manhattan 7,61,112,0,33,66,0
Manhattan,108,Manhattan 8,74,136,0,39,76,0
Manhattan,109,Manhattan 9,42,65,0,16,27,0
Manhattan,110,Manhattan 10,62,94,0,13,19,0
Manhattan,111,Manhattan 11,62,103,0,14,26,0
Manhattan,112,Manhattan 12,86,113,0,28,48,0
Bronx,201,Bronx 1,63,75,0,13,19,0
Bronx,202,Bronx 2,36,55,0,5,9,0
Bronx,203,Bronx 3,45,67,0,8,13,0
Bronx,204,Bronx 4,88,131,0,9,15,0
Bronx,205,Bronx 5,68,103,0,14,24,0
Bronx,206,Bronx 6,58,88,0,7,13,0
Bronx,207,Bronx 7,63,109,0,18,28,0
Bronx,208,Bronx 8,36,54,0,12,20,0
Bronx,209,Bronx 9,78,114,0,15,30,0
Bronx,210,Bronx 10,52,87,0,30,52,0
Bronx,211,Bronx 11,55,94,0,19,33,0
Bronx,212,Bronx 12,66,103,0,21,39,0
Brooklyn,301,Brooklyn 1,114,178,0,53,100,0
Brooklyn,302,Brooklyn 2,64,97,0,25,46,0
Brooklyn,303,Brooklyn 3,97,129,0,20,34,0
Brooklyn,304,Brooklyn 4,80,118,0,24,41,0
Brooklyn,305,Brooklyn 5,94,125,0,15,25,0
Brooklyn,306,Brooklyn 6,48,85,0,26,52,0
Brooklyn,307,Brooklyn 7,64,100,0,13,24,0
Brooklyn,308,Brooklyn 8,46,70,0,12,22,0
Brooklyn,309,Brooklyn 9,39,59,0,10,19,0
Brooklyn,310,Brooklyn 10,62,105,0,27,50,0
Brooklyn,311,Brooklyn 11,87,140,0,31,56,0
Brooklyn,312,Brooklyn 12,49,80,0,16,31,0
Brooklyn,313,Brooklyn 13,30,44,0,18,34,0
Brooklyn,314,Brooklyn 14,57,82,0,21,37,0
Brooklyn,315,Brooklyn 15,59,102,0,32,59,0
Brooklyn,316,Brooklyn 16,48,71,0,6,9,0
Brooklyn,317,Brooklyn 17,59,88,0,9,17,0
Brooklyn,318,Brooklyn 18,55,90,0,21,37,0
Queens,401,Queens 1,106,173,0,46,87,0
Queens,402,Queens 2,70,106,0,26,49,0
Queens,403,Queens 3,64,98,0,20,38,0
Queens,404,Queens 4,64,113,0,18,33,0
Queens,405,Queens 5,99,175,0,35,64,0
Queens,406,Queens 6,35,61,0,19,38,0
Queens,407,Queens 7,71,120,0,31,56,0
Queens,408,Queens 8,38,71,0,21,41,0
Queens,409,Queens 9,60,99,0,24,43,0
Queens,410,Queens 10,47,83,0,21,41,0
Queens,411,Queens 11,28,51,0,15,30,0
Queens,412,Queens 12,118,179,0,23,42,0
Queens,413,Queens 13,54,83,0,19,38,0
Queens,414,Queens 14,37,62,0,10,19,0
Staten Island,501,Staten Island 1,99,140,0,34,65,0
Staten Island,502,Staten Island 2,50,83,0,34,64,0
Staten Island,503,Staten Island 3,42,70,0,32,59,0
